//********************************************************************************************************//
//******** ITEM POSITION - gerado por gen-itemposition.py
//********
//******** Os modelos custom vieram de outro jogo, com o eixo da lamina e a
//******** escala diferentes dos modelos do MU. Aqui cada um e' rotacionado
//******** para ficar no mesmo eixo do modelo padrao equivalente, escalado
//******** para o mesmo tamanho aparente e centralizado no slot.
//********
//******** Index PosX PosY RotX RotY RotZ Scale
//********************************************************************************************************//

00,021	0.000	0.000	0.0000	0.0000	0.0000	0.00317
00,022	0.000	0.000	0.0000	0.0000	-1.5708	0.00316
00,023	0.000	0.000	0.0000	0.0000	-1.5708	0.00265
00,024	0.000	0.000	0.0000	0.0000	-1.5708	0.00207
00,025	0.000	0.000	0.0000	0.0000	-1.5708	0.00133
00,026	0.000	0.000	0.0000	1.5708	0.0000	0.00182
01,009	0.000	0.000	0.0000	1.5708	0.0000	0.00099
03,011	0.000	0.000	0.0000	0.0000	0.0000	0.00127
05,011	0.000	0.000	1.5708	0.0000	0.0000	0.00146
06,017	0.000	0.000	0.0000	0.0000	0.0000	0.00107
07,022	-0.036	-0.001	0.0000	0.0000	0.0000	0.00156
07,023	-0.052	0.028	0.0000	0.0000	0.0000	0.00247
07,024	-0.042	0.001	0.0000	0.0000	0.0000	0.00189
07,025	-0.023	0.001	0.0000	0.0000	0.0000	0.00162
07,026	-0.059	-0.002	0.0000	0.0000	0.0000	0.00256
08,022	-0.030	-0.000	0.0000	0.0000	0.0000	0.00114
08,023	-0.038	-0.000	0.0000	0.0000	0.0000	0.00338
08,024	-0.080	0.002	0.0000	0.0000	0.0000	0.00316
08,025	-0.073	-0.009	0.0000	0.0000	0.0000	0.00310
08,026	-0.060	0.000	0.0000	0.0000	0.0000	0.00174
09,022	-0.046	-0.005	0.0000	0.0000	0.0000	0.00258
09,023	-0.027	0.003	0.0000	0.0000	0.0000	0.00185
09,024	-0.042	-0.009	0.0000	0.0000	0.0000	0.00246
09,025	-0.039	-0.002	0.0000	0.0000	0.0000	0.00248
09,026	-0.017	-0.009	0.0000	0.0000	0.0000	0.00136
10,022	-0.008	0.014	0.0000	0.0000	0.0000	0.00185
10,023	-0.049	0.009	0.0000	0.0000	0.0000	0.00349
10,024	-0.049	0.003	0.0000	0.0000	0.0000	0.00212
10,025	-0.029	-0.006	0.0000	0.0000	0.0000	0.00399
10,026	-0.026	-0.001	0.0000	0.0000	0.0000	0.00254
11,022	-0.006	0.033	0.0000	0.0000	0.0000	0.00191
11,023	-0.048	-0.010	0.0000	0.0000	0.0000	0.00261
11,024	-0.077	-0.020	0.0000	0.0000	0.0000	0.00258
11,025	-0.060	-0.008	0.0000	0.0000	0.0000	0.00288
11,026	-0.076	0.003	0.0000	0.0000	0.0000	0.00305

end
